w_Si(nm),h_Si(nm),Refractive Index(real part),Refractive Index(imaginary part) 
152.1,220,2.2529,-0.045067
152.2,220,2.2528,-0.045059
152.3,220,2.2527,-0.045083
152.4,220,2.2526,-0.045101
152.5,220,2.2525,-0.045099
152.6,220,2.2525,-0.045061
152.7,220,2.2524,-0.04506
152.8,220,2.2523,-0.045091
152.9,220,2.2522,-0.045066
153,220,2.2521,-0.045081
153.1,220,2.252,-0.04508
153.2,220,2.252,-0.045045
153.3,220,2.2517,-0.045336
153.4,220,2.2516,-0.045345
153.5,220,2.2515,-0.045328
153.6,220,2.2514,-0.045326
153.7,220,2.2513,-0.045322
153.8,220,2.2512,-0.04532
153.9,220,2.2511,-0.045317
154,220,2.2511,-0.045314
154.1,220,2.251,-0.045313
154.2,220,2.2509,-0.04531
154.3,220,2.2508,-0.045307
154.4,220,2.2507,-0.045302
154.5,220,2.2506,-0.0453
154.6,220,2.2506,-0.045301
154.7,220,2.2505,-0.045294
154.8,220,2.2504,-0.045293
154.9,220,2.2503,-0.045291
155,220,2.2502,-0.045288
155.1,220,2.2501,-0.04528
155.2,220,2.2501,-0.045279
155.3,220,2.25,-0.045278
155.4,220,2.2499,-0.045275
155.5,220,2.2498,-0.045273
155.6,220,2.2497,-0.045271
155.7,220,2.2497,-0.045267
155.8,220,2.2496,-0.045263
155.9,220,2.2495,-0.045261
156,220,2.2494,-0.045259
156.1,220,2.2493,-0.045255
156.2,220,2.2493,-0.045249
156.3,220,2.2492,-0.045247
156.4,220,2.2491,-0.045246
156.5,220,2.249,-0.045244
156.6,220,2.2489,-0.045241
156.7,220,2.2488,-0.045239
156.8,220,2.2488,-0.045236
156.9,220,2.2487,-0.045236
157,220,2.2486,-0.045232
157.1,220,2.2485,-0.045229
157.2,220,2.2484,-0.045224
157.3,220,2.2484,-0.045222
157.4,220,2.2483,-0.045224
157.5,220,2.2482,-0.045217
157.6,220,2.2481,-0.045211
157.7,220,2.248,-0.045206
157.8,220,2.248,-0.045204
157.9,220,2.2479,-0.045201
158,220,2.2478,-0.045204
158.1,220,2.2477,-0.045202
158.2,220,2.2477,-0.045181
158.3,220,2.2476,-0.045181
158.4,220,2.2475,-0.045189
158.5,220,2.2474,-0.045178
158.6,220,2.2473,-0.045179
158.7,220,2.2472,-0.045179
158.8,220,2.2472,-0.045181
158.9,220,2.2471,-0.04517
159,220,2.247,-0.045179
159.1,220,2.2469,-0.045172
159.2,220,2.2468,-0.04517
159.3,220,2.2468,-0.045166
159.4,220,2.2467,-0.045163
159.5,220,2.2466,-0.045167
159.6,220,2.2466,-0.045149
159.7,220,2.2465,-0.045147
159.8,220,2.2464,-0.045145
159.9,220,2.2463,-0.045146
160,220,2.2462,-0.045146
160.1,220,2.2462,-0.045137
160.2,220,2.2461,-0.045141
160.3,220,2.246,-0.045139
160.4,220,2.2459,-0.045131
160.5,220,2.2459,-0.045128
160.6,220,2.2458,-0.045124
160.7,220,2.2457,-0.045121
160.8,220,2.2456,-0.045117
160.9,220,2.2456,-0.045108
161,220,2.2455,-0.045115
161.1,220,2.2454,-0.04511
161.2,220,2.2453,-0.045106
161.3,220,2.2452,-0.045106
161.4,220,2.2452,-0.045102
161.5,220,2.2451,-0.045098
161.6,220,2.245,-0.045101
161.7,220,2.2449,-0.045096
161.8,220,2.2449,-0.045095
161.9,220,2.2448,-0.045094
162,220,2.2447,-0.04509
162.1,220,2.2446,-0.04509
162.2,220,2.2446,-0.045082
162.3,220,2.2445,-0.045074
162.4,220,2.2444,-0.045163
162.5,220,2.2444,-0.044969
162.6,220,2.2443,-0.044968
162.7,220,2.2442,-0.044966
162.8,220,2.2442,-0.044963
162.9,220,2.2441,-0.044964
163,220,2.244,-0.044966
163.1,220,2.2439,-0.044962
163.2,220,2.2439,-0.044961
163.3,220,2.2438,-0.044959
163.4,220,2.2437,-0.044951
163.5,220,2.2436,-0.044951
163.6,220,2.2435,-0.044974
163.7,220,2.2435,-0.044965
163.8,220,2.2434,-0.044973
163.9,220,2.2433,-0.044955
164,220,2.2432,-0.044966
164.1,220,2.2432,-0.044963
164.2,220,2.2431,-0.044958
164.3,220,2.243,-0.044951
164.4,220,2.2429,-0.044954
164.5,220,2.2429,-0.044953
164.6,220,2.2428,-0.044948
164.7,220,2.2427,-0.044943
164.8,220,2.2426,-0.044941
164.9,220,2.2426,-0.044939
165,220,2.2425,-0.044938
165.1,220,2.2424,-0.044924
165.2,220,2.2423,-0.044933
165.3,220,2.2423,-0.044932
165.4,220,2.2422,-0.044928
165.5,220,2.2421,-0.044915
165.6,220,2.2421,-0.044911
165.7,220,2.242,-0.044913
165.8,220,2.2419,-0.044912
165.9,220,2.2418,-0.044909
166,220,2.2418,-0.044908
166.1,220,2.2417,-0.044903
166.2,220,2.2416,-0.044902
166.3,220,2.2415,-0.044901
166.4,220,2.2415,-0.044899
166.5,220,2.2414,-0.044894
166.6,220,2.2413,-0.044891
166.7,220,2.2412,-0.044902
166.8,220,2.2412,-0.044892
166.9,220,2.2411,-0.044898
167,220,2.241,-0.044888
167.1,220,2.241,-0.044886
167.2,220,2.2409,-0.04488
167.3,220,2.2408,-0.044876
167.4,220,2.2407,-0.044877
167.5,220,2.2407,-0.044868
167.6,220,2.2406,-0.044868
167.7,220,2.2405,-0.044865
167.8,220,2.2405,-0.044859
167.9,220,2.2404,-0.044857
168,220,2.2403,-0.044855
168.1,220,2.2402,-0.044852
168.2,220,2.2402,-0.044849
168.3,220,2.2401,-0.044842
168.4,220,2.24,-0.044841
168.5,220,2.2399,-0.044838
168.6,220,2.2399,-0.044839
168.7,220,2.2398,-0.044839
168.8,220,2.2397,-0.044835
168.9,220,2.2397,-0.044835
169,220,2.2396,-0.044836
169.1,220,2.2395,-0.044834
169.2,220,2.2394,-0.044833
169.3,220,2.2394,-0.044831
169.4,220,2.2393,-0.044819
169.5,220,2.2392,-0.044816
169.6,220,2.2392,-0.044814
169.7,220,2.2391,-0.044809
169.8,220,2.239,-0.044812
169.9,220,2.239,-0.044811
170,220,2.2389,-0.044807
170,221,2.2511,-0.045501
170,222,2.2628,-0.045097
170,223,2.2745,-0.044857
170,224,2.2861,-0.044529
170,225,2.2976,-0.044194
170,226,2.3085,-0.043675
170,227,2.3201,-0.043356
170,228,2.3311,-0.042913
170,229,2.342,-0.042393
170,230,2.3526,-0.041855
170,231,2.3632,-0.041378
170,232,2.3735,-0.040818
170,233,2.3837,-0.040144
170,234,2.3938,-0.039675
170,235,2.4036,-0.039058
170,236,2.4134,-0.038484
170,237,2.4228,-0.037861
170,238,2.4323,-0.037327
170,239,2.4415,-0.036702
170,240,2.4506,-0.036218
170,241,2.4596,-0.036083
170,242,2.4684,-0.035178
170,243,2.4771,-0.034694
170,244,2.4857,-0.034238
170,245,2.4941,-0.033816
170,246,2.5026,-0.033372
170,247,2.5108,-0.033017
170,248,2.5189,-0.032639
170,249,2.5267,-0.03235
170,250,2.5347,-0.032004
170,251,2.5425,-0.031774
170,252,2.5511,-0.031356
170,253,2.5577,-0.031634
170,254,2.5652,-0.03142
170,255,2.5725,-0.031451
170,256,2.5801,-0.031519
170,257,2.587,-0.031273
170,258,2.5937,-0.03107
170,259,2.6009,-0.031096
170,260,2.6083,-0.031917
170,261,2.615,-0.031836
170,262,2.622,-0.032094
170,263,2.6275,-0.031501
170,264,2.6344,-0.032336
170,265,2.6408,-0.03267
170,266,2.6471,-0.032551
170,267,2.6536,-0.033176
170,268,2.6606,-0.034515
170,269,2.667,-0.035233
170,270,2.6734,-0.035993
170.1,220,2.2388,-0.044807
170.2,220,2.2388,-0.044804
170.3,220,2.2387,-0.044798
170.4,220,2.2386,-0.044796
170.5,220,2.2385,-0.044793
170.6,220,2.2385,-0.04479
170.7,220,2.2384,-0.044788
170.8,220,2.2383,-0.044785
170.9,220,2.2383,-0.044781
171,220,2.2382,-0.044789
171,221,2.2504,-0.045446
171,222,2.2622,-0.045132
171,223,2.2738,-0.044828
171,224,2.2854,-0.044481
171,225,2.2965,-0.044029
171,226,2.3082,-0.043716
171,227,2.3194,-0.043314
171,228,2.3304,-0.042886
171,229,2.3413,-0.042396
171,230,2.352,-0.041839
171,231,2.3625,-0.041333
171,232,2.3729,-0.040785
171,233,2.383,-0.040123
171,234,2.3931,-0.039581
171,235,2.4029,-0.039026
171,236,2.4127,-0.038457
171,237,2.4222,-0.037825
171,238,2.4313,-0.037606
171,239,2.4408,-0.036679
171,240,2.4499,-0.03619
171,241,2.459,-0.036056
171,242,2.4677,-0.035153
171,243,2.4764,-0.034651
171,244,2.485,-0.034216
171,245,2.4935,-0.033766
171,246,2.5019,-0.033345
171,247,2.5102,-0.032965
171,248,2.5182,-0.032623
171,249,2.5261,-0.032307
171,250,2.5341,-0.031975
171,251,2.5419,-0.031765
171,252,2.5504,-0.031318
171,253,2.557,-0.031569
171,254,2.5646,-0.031405
171,255,2.572,-0.031484
171,256,2.5794,-0.03138
171,257,2.5864,-0.03119
171,258,2.5932,-0.030993
171,259,2.6002,-0.031168
171,260,2.6074,-0.031472
171,261,2.6139,-0.031602
171,262,2.621,-0.031604
171,263,2.628,-0.032102
171,264,2.6338,-0.029832
171,265,2.64,-0.032364
171,266,2.6464,-0.032327
171,267,2.653,-0.033135
171,268,2.66,-0.03441
171,269,2.6664,-0.035114
171,270,2.6726,-0.035827
171.1,220,2.2381,-0.044786
171.2,220,2.238,-0.044779
171.3,220,2.238,-0.044777
171.4,220,2.2379,-0.044775
171.5,220,2.2378,-0.044773
171.6,220,2.2378,-0.044776
171.7,220,2.2377,-0.04477
171.8,220,2.2376,-0.044768
171.9,220,2.2376,-0.044771
172,220,2.2375,-0.044769
172,221,2.2498,-0.045438
172,222,2.2615,-0.045095
172,223,2.273,-0.044685
172,224,2.2845,-0.044345
172,225,2.2958,-0.043975
172,226,2.3075,-0.043683
172,227,2.3187,-0.043304
172,228,2.3297,-0.042794
172,229,2.3406,-0.042349
172,230,2.3513,-0.041787
172,231,2.3618,-0.041293
172,232,2.3722,-0.040789
172,233,2.3823,-0.04008
172,234,2.3924,-0.039582
172,235,2.4023,-0.039031
